ch	pt	fine_thr	a_fit	b_fit
10	 0	 2	231.468	2.178
10	 0	 3	230.587	2.243
10	 0	 4	229.415	2.321
10	 0	 5	228.554	2.178
10	 0	 6	227.542	1.320
10	 0	 7	226.681	1.312
10	 1	 0	233.073	1.827
10	 1	 1	232.187	1.777
10	 1	 2	231.301	1.685
10	 1	 3	230.306	1.912
10	 1	 4	229.309	1.818
10	 1	 5	228.388	1.935
10	 1	 6	227.478	0.935
10	 1	 7	226.528	0.905
10	 2	 0	233.082	1.508
10	 2	 1	232.134	1.543
10	 2	 2	231.161	1.410
10	 2	 3	230.268	1.502
10	 2	 4	229.160	1.429
10	 2	 5	228.300	0.692
10	 2	 6	227.388	0.696
10	 2	 7	226.407	0.634
10	 3	 0	232.945	1.362
10	 3	 1	232.041	1.320
10	 3	 2	231.116	1.379
10	 3	 3	230.208	1.274
10	 3	 4	229.178	1.291
10	 3	 5	228.243	0.513
10	 3	 6	227.278	0.517
10	 3	 7	226.393	0.531
10	 4	 0	232.995	1.225
10	 4	 1	232.126	1.213
10	 4	 2	231.211	1.103
10	 4	 3	230.286	1.058
10	 4	 4	229.120	1.176
10	 4	 5	228.253	0.432
10	 4	 6	227.339	0.405
10	 4	 7	226.411	0.451
10	 5	 0	233.025	1.108
10	 5	 1	232.071	1.159
10	 5	 2	231.157	1.040
10	 5	 3	230.198	1.044
10	 5	 4	229.119	1.053
10	 5	 5	228.259	0.397
10	 5	 6	227.306	0.383
10	 5	 7	226.390	0.403
10	 6	 0	232.991	1.101
10	 6	 1	232.023	1.049
10	 6	 2	231.255	1.061
10	 6	 3	230.277	1.038
10	 6	 4	229.203	0.903
10	 6	 5	228.253	0.394
10	 6	 6	227.300	0.415
10	 6	 7	226.441	0.387
10	 7	 0	233.009	0.943
10	 7	 1	232.075	0.915
10	 7	 2	231.172	0.913
10	 7	 3	230.235	0.948
10	 7	 4	229.147	0.917
10	 7	 5	228.228	0.414
10	 7	 6	227.336	0.377
10	 7	 7	226.430	0.380
11	 0	 0	230.203	1.784
11	 0	 1	229.251	1.829
11	 0	 2	228.368	1.843
11	 0	 3	227.366	1.845
11	 0	 4	226.433	1.822
11	 0	 5	225.399	1.764
11	 0	 6	224.413	1.037
11	 0	 7	223.450	1.003
11	 1	 0	230.138	1.521
11	 1	 1	229.133	1.526
11	 1	 2	228.249	1.458
11	 1	 3	227.240	1.458
11	 1	 4	226.251	1.486
11	 1	 5	225.232	1.426
11	 1	 6	224.241	0.769
11	 1	 7	223.326	0.715
11	 2	 0	229.986	1.295
11	 2	 1	229.048	1.288
11	 2	 2	228.183	1.312
11	 2	 3	227.192	1.319
11	 2	 4	226.155	1.309
11	 2	 5	225.191	0.688
11	 2	 6	224.200	0.639
11	 2	 7	223.227	0.589
11	 3	 0	230.048	1.263
11	 3	 1	228.969	1.231
11	 3	 2	228.152	1.286
11	 3	 3	227.163	1.283
11	 3	 4	226.178	1.296
11	 3	 5	225.082	0.595
11	 3	 6	224.150	0.618
11	 3	 7	223.221	0.568
11	 4	 0	230.021	1.110
11	 4	 1	229.030	1.061
11	 4	 2	228.142	1.041
11	 4	 3	227.152	1.054
11	 4	 4	226.172	1.203
11	 4	 5	225.141	0.527
11	 4	 6	224.189	0.574
11	 4	 7	223.212	0.522
11	 5	 0	229.941	0.959
11	 5	 1	229.024	0.956
11	 5	 2	228.145	0.925
11	 5	 3	227.174	0.907
11	 5	 4	226.109	1.002
11	 5	 5	225.079	0.463
11	 5	 6	224.148	0.416
11	 5	 7	223.191	0.395
11	 6	 0	229.882	0.880
11	 6	 1	228.962	0.841
11	 6	 2	228.129	0.876
11	 6	 3	227.105	0.842
11	 6	 4	226.148	0.840
11	 6	 5	225.122	0.352
11	 6	 6	224.191	0.354
11	 6	 7	223.196	0.341
11	 7	 0	229.905	0.766
11	 7	 1	228.928	0.781
11	 7	 2	228.161	0.752
11	 7	 3	226.992	0.809
11	 7	 4	226.085	0.793
11	 7	 5	225.040	0.397
11	 7	 6	224.100	0.373
11	 7	 7	223.145	0.355
12	 0	 0	223.244	1.493
12	 0	 1	222.365	1.542
12	 0	 2	221.329	1.572
12	 0	 3	220.462	1.546
12	 0	 4	219.489	1.446
12	 0	 5	218.570	1.286
12	 0	 6	217.636	0.665
12	 0	 7	216.747	0.700
12	 1	 0	223.150	1.113
12	 1	 1	222.156	1.253
12	 1	 2	221.258	1.218
12	 1	 3	220.431	1.227
12	 1	 4	219.461	1.093
12	 1	 5	218.526	1.066
12	 1	 6	217.634	0.484
12	 1	 7	216.641	0.558
12	 2	 0	223.070	1.053
12	 2	 1	222.139	1.067
12	 2	 2	221.267	1.120
12	 2	 3	220.312	1.012
12	 2	 4	219.379	0.987
12	 2	 5	218.394	0.411
12	 2	 6	217.592	0.403
12	 2	 7	216.655	0.445
12	 3	 0	223.044	1.005
12	 3	 1	222.118	0.884
12	 3	 2	221.275	1.020
12	 3	 3	220.246	0.969
12	 3	 4	219.365	0.834
12	 3	 5	218.439	0.384
12	 3	 6	217.554	0.386
12	 3	 7	216.641	0.389
12	 4	 0	223.042	0.847
12	 4	 1	222.095	0.887
12	 4	 2	221.218	0.873
12	 4	 3	220.273	0.815
12	 4	 4	219.279	0.845
12	 4	 5	218.404	0.356
12	 4	 6	217.500	0.352
12	 4	 7	216.621	0.371
12	 5	 0	222.974	0.786
12	 5	 1	222.098	0.850
12	 5	 2	221.120	0.861
12	 5	 3	220.176	0.866
12	 5	 4	219.330	0.756
12	 5	 5	218.359	0.318
12	 5	 6	217.524	0.335
12	 5	 7	216.624	0.379
12	 6	 0	223.011	0.805
12	 6	 1	222.040	0.819
12	 6	 2	221.160	0.770
12	 6	 3	220.230	0.750
12	 6	 4	219.337	0.713
12	 6	 5	218.404	0.322
12	 6	 6	217.515	0.344
12	 6	 7	216.609	0.362
12	 7	 0	222.956	0.768
12	 7	 1	222.030	0.803
12	 7	 2	221.168	0.797
12	 7	 3	220.238	0.775
